job_role,years_experience,location_tier,num_skills,education_level,num_certifications,salary
UX Designer,3,1,9,M.Tech,1,11.39
Frontend Developer,1,1,9,MCA,1,8.07
Business Analyst,3,1,11,M.Sc,0,9.85
Frontend Developer,1,3,12,B.Sc,0,6.92
ML Engineer,0,2,9,B.Sc,0,7.14
Java Developer,0,2,8,B.Tech,0,4.59
Systems Analyst,2,3,10,B.Tech,0,8.07
Mechanical Design Engineer,0,1,4,B.Sc,0,4.88
DevOps Engineer,0,1,6,M.Sc,0,6.15
ML Engineer,0,2,12,B.Tech,2,7.95
DevOps Engineer,0,1,10,MCA,1,7.76
UX Designer,3,1,11,MCA,1,12.44
Marketing Executive,0,2,9,M.Sc,1,4.91
Frontend Developer,1,1,8,B.Tech,1,7.92
DevOps Engineer,1,2,10,MCA,1,8.68
Mechanical Design Engineer,1,1,12,MCA,0,7.03
UX Designer,0,2,9,B.Sc,1,5.08
Java Developer,0,1,12,B.Tech,1,7.08
Frontend Developer,2,1,11,M.Tech,1,11.76
Business Analyst,0,1,7,MCA,0,5.1
Business Analyst,1,3,8,B.Sc,2,6.22
UX Designer,1,1,11,M.Tech,0,9.77
Data Scientist,0,3,9,M.Sc,2,6.38
Frontend Developer,3,3,10,B.Sc,0,8.65
ML Engineer,3,1,4,M.Tech,2,14.52
Business Analyst,1,3,12,MCA,0,6.88
UX Designer,0,1,11,MCA,0,6.85
Data Scientist,2,2,6,M.Tech,1,9.62
UX Designer,0,2,9,B.Sc,0,4.93
Java Developer,0,1,4,M.Tech,1,6.97
Java Developer,0,1,5,M.Sc,1,6.06
Marketing Executive,0,1,7,MCA,1,6.43
UX Designer,1,3,4,MCA,0,5.77
UX Designer,3,2,11,MCA,0,9.28
Systems Analyst,1,1,11,B.Tech,2,8.85
Java Developer,0,1,7,MCA,2,7.11
Java Developer,0,1,11,B.Sc,0,6.73
Java Developer,2,1,10,MCA,2,10.3
UX Designer,1,1,6,MCA,2,9.15
Marketing Executive,0,1,6,M.Tech,0,5.54
Frontend Developer,3,2,9,M.Sc,1,9.26
ML Engineer,1,1,11,M.Sc,0,10.38
Java Developer,0,3,10,M.Tech,0,4.55
Frontend Developer,1,2,5,M.Sc,0,6.22
Business Analyst,0,2,7,M.Sc,0,4.92
DevOps Engineer,0,1,12,B.Tech,1,9.09
Java Developer,2,3,11,B.Sc,0,7.1
UX Designer,0,1,9,M.Sc,1,6.53
DevOps Engineer,1,2,10,B.Sc,0,8.19
Java Developer,0,1,4,M.Sc,1,5.09
UX Designer,1,3,5,B.Sc,0,5.87
Java Developer,1,1,8,M.Sc,1,7.43
Data Scientist,0,3,11,B.Tech,1,7.98
Frontend Developer,0,1,12,MCA,1,8.07
Marketing Executive,0,2,5,M.Tech,0,4.95
Business Analyst,0,2,9,M.Sc,0,4.39
Frontend Developer,1,2,9,M.Tech,0,7.3
Systems Analyst,2,1,8,B.Sc,0,9.49
DevOps Engineer,0,1,10,M.Sc,1,7.85
UX Designer,1,2,5,B.Tech,0,6.78
ML Engineer,2,2,12,B.Tech,0,10.39
Data Scientist,0,1,8,MCA,1,8.95
Frontend Developer,1,1,11,M.Sc,0,8.36
ML Engineer,0,1,12,B.Tech,1,10.35
Java Developer,1,2,5,M.Tech,0,6.67
Systems Analyst,1,1,10,B.Tech,1,8.8
Java Developer,1,1,9,M.Tech,1,8.44
Marketing Executive,0,1,10,B.Tech,0,6.36
Frontend Developer,1,2,9,M.Tech,1,8.42
ML Engineer,0,1,9,B.Sc,1,8.44
Business Analyst,1,1,10,B.Tech,0,7.45
Systems Analyst,2,2,7,M.Tech,1,9.32
Java Developer,2,2,9,B.Tech,0,7.84
ML Engineer,0,1,9,B.Tech,1,8.23
Frontend Developer,3,1,11,MCA,1,12.05
Marketing Executive,0,3,9,M.Sc,0,3.75
Marketing Executive,3,1,7,B.Tech,1,9.63
Systems Analyst,1,2,5,MCA,1,6.21
Marketing Executive,1,2,7,B.Sc,1,5.8
Mechanical Design Engineer,0,1,11,MCA,1,5.97
DevOps Engineer,0,1,12,B.Sc,0,6.54
Mechanical Design Engineer,1,1,12,MCA,1,7.89
DevOps Engineer,1,2,7,B.Sc,0,6.81
DevOps Engineer,0,1,10,M.Sc,1,7.07
Systems Analyst,1,2,4,M.Tech,1,6.86
ML Engineer,0,2,5,MCA,1,7.89
Java Developer,0,1,5,B.Sc,1,5.24
Frontend Developer,0,1,8,MCA,0,6.28
Data Scientist,0,3,11,M.Tech,0,7.25
Business Analyst,0,1,10,MCA,1,6.73
Marketing Executive,0,1,5,M.Tech,1,6.09
Systems Analyst,0,1,11,MCA,0,6.24
DevOps Engineer,1,2,9,M.Tech,0,7.85
DevOps Engineer,1,2,12,M.Sc,0,8.53
Data Scientist,1,2,5,B.Sc,1,8.48
Java Developer,1,1,5,MCA,1,7.33
ML Engineer,2,1,4,B.Tech,1,11.8
Mechanical Design Engineer,2,1,8,MCA,1,10.39
Java Developer,0,2,5,M.Sc,0,4.64
UX Designer,0,1,11,MCA,1,6.38
ML Engineer,0,3,10,M.Tech,0,7.56
Data Scientist,1,2,11,B.Sc,0,9.35
Business Analyst,0,1,9,B.Tech,0,6.56
DevOps Engineer,0,2,10,B.Tech,2,7.11
ML Engineer,2,1,5,M.Tech,2,11.99
Marketing Executive,0,1,10,M.Tech,0,6.86
Java Developer,0,1,6,B.Sc,0,5.96
Frontend Developer,2,2,5,MCA,1,8.23
ML Engineer,2,1,10,M.Tech,0,13.07
Marketing Executive,0,1,9,B.Sc,0,5.4
ML Engineer,1,1,10,MCA,0,9.34
Java Developer,1,1,12,M.Sc,0,8.95
ML Engineer,0,2,12,M.Tech,1,9.63
Data Scientist,1,2,7,MCA,1,8.44
Marketing Executive,2,1,12,B.Tech,0,9.82
UX Designer,2,2,7,MCA,1,8.82
DevOps Engineer,0,1,8,M.Sc,1,7.11
ML Engineer,0,2,6,B.Sc,0,6.89
Systems Analyst,1,2,10,M.Sc,1,6.9
Java Developer,0,1,8,B.Tech,0,6.83
Systems Analyst,0,2,6,B.Tech,2,5.94
Data Scientist,0,2,11,M.Sc,0,7.37
Data Scientist,0,1,7,M.Tech,2,9.18
UX Designer,0,1,10,B.Tech,1,7.74
Frontend Developer,2,2,6,B.Sc,0,7.81
Mechanical Design Engineer,0,1,11,B.Sc,0,5.23
ML Engineer,3,1,10,M.Sc,0,12.71
Business Analyst,0,1,6,M.Sc,0,5.75
ML Engineer,2,3,8,MCA,1,10.88
Mechanical Design Engineer,1,2,9,M.Tech,0,7.76
Mechanical Design Engineer,3,1,8,B.Tech,0,10.02
ML Engineer,1,2,11,B.Tech,1,10.88
ML Engineer,0,1,9,B.Sc,2,8.79
DevOps Engineer,0,2,8,M.Sc,0,5.61
DevOps Engineer,2,2,9,M.Tech,0,9.28
Data Scientist,0,1,7,MCA,0,7.51
Frontend Developer,2,1,10,B.Sc,1,9.11
Mechanical Design Engineer,0,1,8,B.Sc,1,6.49
